id,timestamp,pair,delta_mi,mi_original,residual,deviation_pct,status,trend,slope_pct_per_hour,acceleration,confidence,n_points,created_at
1,2026-01-10T15:50:00,193-211,0.8926777808516979,1.3370818880029862,2.522314840430816,0.5130131878842338,NORMAL,insufficient_data,0.0,,,,2026-01-10 16:46:18
2,2026-01-10T15:50:00,193-304,0.11665384417133495,0.280825521410323,2.332692208566747,0.6664834881619277,NORMAL,insufficient_data,0.0,,,,2026-01-10 16:46:18
3,2026-01-10T15:51:00,193-211,0.8926777808516979,1.3370818880029862,2.522314840430816,0.5130131878842338,NORMAL,insufficient_data,0.0,,,,2026-01-10 16:46:18
4,2026-01-10T15:51:00,193-304,0.11665384417133495,0.280825521410323,2.332692208566747,0.6664834881619277,NORMAL,insufficient_data,0.0,,,,2026-01-10 16:46:18
5,2026-01-10T15:58:00,193-211,0.8701365265408896,1.3327867532767597,2.3344710545074134,0.47480767210320274,NORMAL,insufficient_data,0.0,,,,2026-01-10 16:46:18
6,2026-01-10T15:58:00,193-304,0.15849174974182478,0.3268387528392198,4.424587487091239,1.2641678534546394,NORMAL,insufficient_data,0.0,,,,2026-01-10 16:46:18
7,2026-01-10T16:08:00,193-211,0.916261773760386,1.3542471358308434,2.7188481146698833,0.5529860572209933,NORMAL,DECLINING,-7.639687186242234,,,,2026-01-10 16:46:18
8,2026-01-10T16:08:00,193-304,0.12139884536130463,0.25563334857519315,2.569942268065231,0.7342692194472088,NORMAL,RISING,96.10558707672378,,,,2026-01-10 16:46:18
9,2026-01-10T16:48:27,193-211,1.0013848445666964,1.4294405621012958,3.428207038055804,0.6972624484181296,NORMAL,STABLE,2.641166644719621,,,,2026-01-10 16:48:27
10,2026-01-10T16:48:27,193-304,0.15740997776927568,0.3251329220201402,4.370498888463784,1.2487139681325095,NORMAL,RISING,9.245941272659799,,,,2026-01-10 16:48:27
11,2026-01-10T16:59:04,193-211,1.0218904069484687,1.438760660052436,3.5990867245705727,0.7320176388957097,NORMAL,RISING,12.78184357072885,,,,2026-01-10 16:59:04
12,2026-01-10T16:59:04,193-304,0.136470018953343,0.324338713465945,3.323500947667149,0.9495716993334711,NORMAL,RISING,28.09732906893313,,,,2026-01-10 16:59:04
13,2026-01-10T17:09:41,193-211,0.9879323410226872,1.4208252473568201,3.3161028418557272,0.6744615949537073,NORMAL,ACCELERATING_UP,17.486299956346382,,,,2026-01-10 17:09:41
14,2026-01-10T17:09:41,193-304,0.14277405423585243,0.2920924408211727,3.638702711792621,1.0396293462264632,NORMAL,RISING,17.678143736030748,,,,2026-01-10 17:09:41
15,2026-01-10T17:20:30,193-211,0.743192188235712,1.0299549816218203,1.2766015686309335,0.2596477766706983,NORMAL,ACCELERATING_UP,15.242196822827166,3.5588772902260786,medium,7,2026-01-10 17:20:30
16,2026-01-10T17:20:30,193-304,0.11703042427689159,0.1914504013026357,2.351521213844579,0.671863203955594,NORMAL,RISING,19.249462661614356,-10.468027367992947,medium,7,2026-01-10 17:20:30
17,2026-01-10T17:31:08,193-211,0.8583873422178323,1.3021049905957867,2.2365611851486027,0.45489380036920735,NORMAL,RISING,9.063775999876533,-6.982305963424633,medium,8,2026-01-10 17:31:08
18,2026-01-10T17:31:08,193-304,0.14907532570731252,0.31799231887552803,3.9537662853656257,1.1296475101044645,NORMAL,RISING,3.6992190211013125,-10.173120125852831,medium,8,2026-01-10 17:31:08
19,2026-01-10T17:41:46,193-211,0.8974803181777684,1.3471327743989416,2.562335984814737,0.5211530816572347,NORMAL,STABLE,-0.6459901606049947,-5.39434987754137,high,9,2026-01-10 17:41:46
20,2026-01-10T17:41:46,193-304,0.151182582429227,0.33710705346006087,4.05912912146135,1.1597511775603855,NORMAL,RISING,12.263965579397349,-4.9426922485180045,high,9,2026-01-10 17:41:46
21,2026-01-10T17:52:25,193-211,0.9044709201210805,1.3576462192450078,2.620591001009005,0.5330015595272553,NORMAL,STABLE,0.0,-5.727213525979932,high,10,2026-01-10 17:52:25
22,2026-01-10T17:52:25,193-304,0.14410557813900393,0.3170468594001541,3.705278906950196,1.0586511162714844,NORMAL,RISING,13.827263626341207,-2.096623094064319,high,10,2026-01-10 17:52:25
23,2026-01-10T18:03:06,193-211,0.5297928961997451,0.7230153510708575,-0.5017258650021238,-0.10204593864449975,ELEVATED,STABLE,0.35266243912650236,-4.732903741964,high,11,2026-01-10 18:03:06
24,2026-01-10T18:03:06,193-304,0.11022554341588364,0.23964688689237068,2.0112771707941817,0.574650620226909,NORMAL,RISING,11.988876385383893,-2.5314978981673306,high,11,2026-01-10 18:03:06
25,2026-01-10T18:13:47,193-211,0.835119981370025,1.2711680195454633,2.042666511416875,0.4154575955424153,NORMAL,ACCELERATING_DOWN,-3.144245304830272,-6.5415617274337245,high,12,2026-01-10 18:13:47
26,2026-01-10T18:13:47,193-304,0.09897508430083057,0.2989456812715119,1.4487542150415282,0.4139297757261509,NORMAL,STABLE,0.8784115680482275,-4.192084163737783,high,12,2026-01-10 18:13:47
27,2026-01-10T18:24:25,193-211,1.0177394079450153,1.4573846495115133,3.564495066208461,0.7249820473644327,NORMAL,ACCELERATING_DOWN,-7.087507437443256,-2.5767974618666374,high,12,2026-01-10 18:24:25
28,2026-01-10T18:24:25,193-304,0.12001054384918408,0.24222568176739845,2.5005271924592036,0.7144363407026296,NORMAL,ACCELERATING_DOWN,-7.1303654368716485,-9.001945591666678,high,12,2026-01-10 18:24:25
